symbol,date,price,setup,score,atr_pct,pct_of_100d_high,entry,stop,risk_per_share,atr14,pivot,shares_for_plan,position_value,capital,risk_pct,ema20,ema50,sma200,prior_52w_high,vol_x_avg20,neckline,left_shoulder,head,right_shoulder
TXT,2025-10-08,86.22000122070312,vcp,76.433,0.016270668979342914,0.9871766067764121,88.03,81.9,6.13,1.4,87.94,20,1760.56,25000.0,0.005,,,,,,,,,
RTX,2025-10-08,168.57000732421875,vcp,76.163,0.016864556725595573,0.9958646131590128,171.02,159.69,11.33,2.84,170.85,11,1881.23,25000.0,0.005,,,,,,,,,
EL,2025-10-08,95.76000213623047,vcp,75.98,0.028471474308869257,1.0,96.53,83.12,13.41,2.73,96.43,9,868.74,25000.0,0.005,,,,,,,,,
SNA,2025-10-08,339.25,vcp,75.804,0.015388974692648568,0.9717010719656456,350.65,334.85,15.8,5.22,350.3,7,2454.55,25000.0,0.005,,,,,,,,,
HPE,2025-10-08,26.079999923706055,vcp,75.482,0.02883160780933476,1.0,26.47,23.81,2.66,0.75,26.44,46,1217.46,25000.0,0.005,,,,,,,,,
TPR,2025-10-08,116.80999755859375,vcp,75.421,0.02702801267177265,1.0,117.89,106.26,11.63,3.16,117.77,10,1178.88,25000.0,0.005,,,,,,,,,
NSC,2025-10-08,296.6199951171875,vcp,75.399,0.014441284357445898,0.9873838803677631,302.54,292.95,9.59,4.28,302.24,13,3933.05,25000.0,0.005,,,,,,,,,
BRK-B,2025-10-08,499.8399963378906,vcp,75.229,0.011850938557617215,0.9718652149688095,505.47,493.22,12.25,5.92,504.97,10,5054.75,25000.0,0.005,,,,,,,,,
ROK,2025-10-08,348.1099853515625,vcp,75.111,0.018169548631328324,0.9709639518545439,355.33,336.79,18.54,6.33,354.98,6,2132.01,25000.0,0.005,,,,,,,,,
KEYS,2025-10-08,172.17999267578125,vcp,75.001,0.018014793553991222,0.9664889058364378,177.03,169.28,7.75,3.1,176.85,16,2832.43,25000.0,0.005,,,,,,,,,
